id,label,text,view
0,MainMenu,Please Wait While App loads... Astra 28.2°E Frequency channels,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView
1,First_Page_Main,More Apps HotBird Frequency Channels App Astra 28.2°E Frequency channels Astra 28.2°E Frequency channels,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
2,Data_TV_Radio,SD/clear Status QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MBC2,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,Data_Radio,QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MFM,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
4,Data_TV_Group,SD/clear Status QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MBC2,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,MainActivity,null,android.widget.RelativeLayout android.support.design.widget.CoordinatorLayout android.support.v4.view.ViewPager android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout android.support.v7.widget.Toolbar
6,More_Apps,NileSat Frequency Channels ********************** TurkSat Frequency Channels ********************** SATELLITE INFO More Apps,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView
7,Beam_E7,Europe Ka Band West Africa Ku Band Europe Ku Band Astra 2G Europe Ka Band West Africa Ku Band Europe Ku Band Astra 2F Europe Ka Band United Kingdom Ku Band SpotBeam Middle Est Ku Band Europe Ku Band Astra 2E For more informations on following Satellites please install The SATELLITE INFO App,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.TextView
8,Search_TV,null,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
9,Search_Radio,Channel not exist,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
10,Search_Freq,Frequency not exist,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
11,MainMenu1,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
12,MainMenu2,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
13,MainMenu3,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
14,MAIN,null,null
